person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,Type
29,120000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,25000,15.99,0.21,Y,5,0,1
27,69996,OWN,11.0,MEDICAL,A,15000,6.03,0.21,N,9,0,1
29,60000,RENT,2.0,VENTURE,A,10000,8.94,0.17,N,7,0,1
25,26400,RENT,1.0,PERSONAL,A,1325,6.62,0.05,N,2,1,1
22,60000,RENT,4.0,EDUCATION,A,15000,7.88,0.25,N,4,0,1
34,70000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8400,6.99,0.12,N,7,0,1
25,42000,RENT,2.0,DEBTCONSOLIDATION,B,3000,11.11,0.07,N,3,0,1
24,48000,MORTGAGE,8.0,EDUCATION,A,7200,7.49,0.15,N,2,0,1
22,50000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,10200,10.99,0.2,N,2,0,1
23,85000,RENT,7.0,EDUCATION,A,10000,7.88,0.12,N,2,0,1
22,50000,MORTGAGE,7.0,EDUCATION,A,12800,7.88,0.26,N,2,0,1
24,34000,RENT,2.0,MEDICAL,A,8000,9.32,0.24,N,2,0,1
27,110000,RENT,2.0,HOMEIMPROVEMENT,A,14400,7.29,0.12,N,7,0,1
24,75000,MORTGAGE,8.0,MEDICAL,A,12000,7.9,0.16,N,2,0,1
26,31200,RENT,5.0,MEDICAL,A,14000,6.99,0.45,N,2,1,1
24,70000,MORTGAGE,3.0,MEDICAL,A,5000,7.88,0.07,N,4,0,1
26,48000,OWN,10.0,PERSONAL,A,5000,6.17,0.1,N,4,0,1
24,51000,OWN,8.0,EDUCATION,B,1000,10.37,0.02,N,2,0,1
27,50000,RENT,0.0,HOMEIMPROVEMENT,B,4000,10.75,0.08,N,7,0,1
22,35000,RENT,0.0,DEBTCONSOLIDATION,B,10000,9.91,0.29,N,3,0,1
27,35000,RENT,2.0,VENTURE,B,10000,10.59,0.29,N,5,0,1
27,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,6000,11.99,0.15,N,6,0,1
24,95000,MORTGAGE,4.0,VENTURE,A,7375,5.79,0.08,N,4,0,1
29,60000,RENT,3.0,HOMEIMPROVEMENT,A,15000,7.88,0.25,N,6,0,1
25,42000,RENT,3.0,MEDICAL,B,1500,11.49,0.04,N,4,0,1
27,30000,RENT,0.0,EDUCATION,B,12000,12.21,0.4,N,8,1,1
29,150000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,15000,13.11,0.1,N,8,0,1
23,92000,MORTGAGE,7.0,EDUCATION,A,5000,8.0,0.05,N,4,0,1
23,33280,RENT,3.0,EDUCATION,A,11250,7.51,0.36,N,4,1,1
29,90000,OWN,13.0,HOMEIMPROVEMENT,C,10000,12.87,0.11,N,5,0,1
24,50000,RENT,4.0,DEBTCONSOLIDATION,C,16000,13.49,0.32,Y,2,1,1
21,53000,MORTGAGE,5.0,VENTURE,B,25000,10.96,0.47,N,2,0,1
33,135000,MORTGAGE,1.0,VENTURE,B,10000,11.26,0.07,N,5,0,1
36,150000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,14000,5.42,0.09,N,14,0,1
21,24000,OWN,0.0,PERSONAL,B,2400,11.71,0.1,N,3,0,1
29,70000,MORTGAGE,13.0,MEDICAL,B,10000,10.99,0.14,N,7,0,1
36,52000,RENT,2.0,MEDICAL,B,10000,10.62,0.19,N,13,0,1
30,60000,RENT,5.0,DEBTCONSOLIDATION,A,6000,7.88,0.1,N,5,0,1
29,33000,OWN,1.0,PERSONAL,B,7000,10.99,0.21,N,6,0,1
27,100000,MORTGAGE,3.0,PERSONAL,B,12000,10.74,0.12,N,7,0,1
29,42000,RENT,6.0,MEDICAL,A,12000,7.66,0.29,N,10,0,1
22,40000,MORTGAGE,0.0,EDUCATION,C,5000,12.68,0.13,N,2,0,1
23,50000,MORTGAGE,5.0,PERSONAL,B,13000,9.99,0.26,N,3,0,1
32,63000,OWN,2.0,EDUCATION,B,20000,12.18,0.32,N,10,0,1
29,36000,RENT,5.0,DEBTCONSOLIDATION,B,7000,10.65,0.19,N,6,0,1
28,160000,RENT,12.0,VENTURE,D,12000,16.77,0.07,N,6,0,1
25,54996,MORTGAGE,8.0,PERSONAL,B,8000,11.86,0.15,N,2,0,1
21,46000,RENT,4.0,EDUCATION,A,9000,7.66,0.2,N,4,0,1
30,63996,MORTGAGE,9.0,DEBTCONSOLIDATION,A,3000,5.42,0.05,N,8,0,1
23,50000,RENT,8.0,VENTURE,B,7000,10.37,0.14,N,2,0,1
23,48000,RENT,4.0,EDUCATION,C,3500,12.61,0.07,N,2,0,1
23,24000,RENT,0.0,MEDICAL,D,4800,12.17,0.2,Y,2,0,1
23,80000,RENT,2.0,VENTURE,B,12500,11.49,0.16,N,4,0,1
22,55000,MORTGAGE,6.0,VENTURE,C,15000,15.27,0.27,Y,2,0,1
32,60000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,8500,7.14,0.15,N,9,0,1
23,33000,RENT,4.0,VENTURE,C,5000,14.22,0.15,N,4,0,1
21,45000,RENT,5.0,VENTURE,A,2500,6.99,0.06,N,2,0,1
29,35350,RENT,3.0,DEBTCONSOLIDATION,B,5000,9.99,0.14,N,8,0,1
29,75000,RENT,8.0,EDUCATION,C,9000,13.23,0.12,Y,8,0,1
45,12000,RENT,0.0,EDUCATION,C,3600,13.72,0.31,Y,12,1,1
25,40000,MORTGAGE,2.0,EDUCATION,B,8000,10.38,0.2,N,2,0,1
43,37000,RENT,3.0,DEBTCONSOLIDATION,D,12000,15.65,0.33,N,14,1,1
27,50000,MORTGAGE,4.0,VENTURE,A,5000,6.62,0.1,N,6,0,1
23,70000,RENT,4.0,EDUCATION,A,4000,7.49,0.06,N,3,0,1
29,80000,MORTGAGE,13.0,PERSONAL,A,12000,5.42,0.15,N,8,0,1
27,54000,RENT,2.0,DEBTCONSOLIDATION,A,2000,7.9,0.04,N,6,0,1
23,43000,RENT,3.0,EDUCATION,A,6000,8.94,0.14,N,2,0,1
23,33000,RENT,7.0,EDUCATION,B,6500,9.25,0.2,N,3,0,1
37,65000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,6600,10.65,0.1,N,14,0,1
22,59363,RENT,3.0,EDUCATION,C,6000,13.22,0.1,N,4,0,1
33,67000,MORTGAGE,0.0,EDUCATION,A,7000,7.14,0.1,N,10,0,1
21,28800,OWN,2.0,VENTURE,B,10000,10.99,0.35,N,2,0,1
27,225000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,35000,9.99,0.15,N,9,0,1
21,25200,RENT,1.0,PERSONAL,C,6000,13.48,0.24,N,2,0,1
48,50000,RENT,3.0,MEDICAL,B,4000,11.49,0.08,N,11,0,1
36,34000,RENT,3.0,MEDICAL,A,6000,9.63,0.18,N,14,0,1
33,41000,MORTGAGE,17.0,MEDICAL,A,6000,5.99,0.15,N,10,0,1
23,38000,RENT,7.0,EDUCATION,A,8000,7.14,0.21,N,3,0,1
31,100000,RENT,1.0,MEDICAL,C,10000,12.87,0.1,N,9,0,1
24,54000,RENT,5.0,DEBTCONSOLIDATION,D,1500,14.84,0.03,Y,4,1,1
25,78000,RENT,5.0,EDUCATION,C,12000,13.49,0.15,N,4,0,1
24,79700,MORTGAGE,5.0,HOMEIMPROVEMENT,B,7000,9.99,0.09,N,2,0,1
26,33300,RENT,2.0,DEBTCONSOLIDATION,C,13250,13.57,0.4,Y,2,1,1
46,90000,RENT,5.0,PERSONAL,B,15000,9.88,0.17,N,16,0,1
25,75996,MORTGAGE,9.0,MEDICAL,B,3000,11.26,0.04,N,2,0,1
34,70000,RENT,0.0,HOMEIMPROVEMENT,A,12000,8.94,0.17,N,5,0,1
28,84000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,5000,10.62,0.06,N,7,0,1
23,35000,OWN,7.0,VENTURE,A,7200,7.9,0.21,N,2,0,1
28,78956,RENT,5.0,MEDICAL,B,35000,11.11,0.44,N,7,1,1
37,60000,RENT,0.0,PERSONAL,C,8000,13.22,0.13,N,13,0,1
29,90000,MORTGAGE,13.0,HOMEIMPROVEMENT,C,15000,12.53,0.17,Y,10,0,1
22,41000,MORTGAGE,6.0,VENTURE,A,6000,7.51,0.15,N,3,0,1
22,36000,MORTGAGE,0.0,VENTURE,B,4000,12.21,0.11,N,2,0,1
27,45000,MORTGAGE,6.0,EDUCATION,B,10000,10.59,0.22,N,6,0,1
22,50000,RENT,2.0,EDUCATION,B,5000,11.49,0.1,N,3,0,1
23,61836,RENT,0.0,DEBTCONSOLIDATION,E,10000,17.93,0.16,Y,4,1,1
23,75000,OTHER,3.0,VENTURE,B,15000,11.58,0.2,N,4,0,1
29,75000,MORTGAGE,4.0,EDUCATION,C,10000,13.49,0.13,Y,6,0,1
28,48000,MORTGAGE,12.0,EDUCATION,B,8400,12.18,0.17,N,6,0,1
23,120000,MORTGAGE,7.0,PERSONAL,A,10000,5.99,0.08,N,3,0,1
26,43949,MORTGAGE,2.0,EDUCATION,B,6700,10.74,0.16,N,4,0,1
23,65000,RENT,0.0,EDUCATION,C,10000,13.47,0.15,Y,2,0,1
24,65000,MORTGAGE,3.0,EDUCATION,A,7000,7.14,0.11,N,4,0,1
22,54000,MORTGAGE,5.0,VENTURE,C,12000,13.35,0.22,N,4,0,1
23,30000,OWN,4.0,VENTURE,C,3350,12.99,0.11,Y,3,0,1
53,90000,MORTGAGE,3.0,PERSONAL,A,12000,5.79,0.13,N,28,0,1
40,75000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,15000,8.94,0.2,N,17,0,1
28,33000,RENT,1.0,EDUCATION,B,4800,12.42,0.15,N,8,0,1
22,75000,MORTGAGE,6.0,EDUCATION,C,12500,13.49,0.17,N,2,0,1
29,60000,RENT,0.0,DEBTCONSOLIDATION,A,3000,7.51,0.05,N,9,0,1
37,48500,RENT,3.0,PERSONAL,B,20000,12.53,0.41,N,14,1,1
57,15840,RENT,0.0,MEDICAL,B,3000,10.38,0.19,N,21,1,1
29,33600,RENT,1.0,MEDICAL,B,11300,9.99,0.36,N,5,1,1
25,48000,RENT,2.0,DEBTCONSOLIDATION,A,8000,7.51,0.17,N,3,0,1
35,80000,OWN,4.0,VENTURE,C,5000,13.47,0.06,Y,9,0,1
23,15000,RENT,2.0,PERSONAL,B,3000,11.89,0.2,N,2,1,1
32,54000,MORTGAGE,6.0,HOMEIMPROVEMENT,E,12000,16.35,0.22,N,9,0,1
23,100000,OWN,3.0,EDUCATION,A,15000,6.03,0.15,N,4,0,1
29,50000,MORTGAGE,10.0,PERSONAL,A,5000,6.76,0.1,N,5,0,1
30,58800,MORTGAGE,12.0,EDUCATION,B,17000,11.49,0.29,N,8,1,1
30,55200,RENT,2.0,MEDICAL,D,3000,15.62,0.05,N,9,1,1
32,50000,RENT,0.0,HOMEIMPROVEMENT,C,5275,12.53,0.11,N,10,0,1
33,95000,MORTGAGE,17.0,DEBTCONSOLIDATION,A,12000,7.66,0.13,N,5,0,1
41,60000,RENT,3.0,DEBTCONSOLIDATION,C,2400,13.49,0.04,Y,16,0,1
36,240000,MORTGAGE,12.0,MEDICAL,B,8000,11.14,0.03,N,11,0,1
28,65000,MORTGAGE,5.0,PERSONAL,B,7000,11.49,0.11,N,9,0,1
24,46000,RENT,2.0,MEDICAL,D,8000,16.49,0.17,Y,4,1,1
26,58000,RENT,9.0,MEDICAL,A,4000,7.14,0.07,N,2,0,1
25,102000,MORTGAGE,0.0,VENTURE,B,10000,10.95,0.1,N,4,0,1
27,120000,OWN,3.0,EDUCATION,A,7000,7.74,0.06,N,10,0,1
26,82116,MORTGAGE,10.0,VENTURE,B,2800,9.88,0.03,N,3,0,1
23,38000,RENT,0.0,EDUCATION,G,3600,21.21,0.09,N,4,1,1
22,63000,MORTGAGE,6.0,MEDICAL,C,20000,13.47,0.32,Y,2,0,1
29,75000,RENT,2.0,MEDICAL,B,8000,10.95,0.11,N,7,0,1
30,54000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,15000,10.62,0.28,N,9,1,1
27,120000,MORTGAGE,4.0,MEDICAL,A,21000,6.91,0.17,N,5,0,1
23,83000,RENT,6.0,EDUCATION,A,10000,8.0,0.12,N,3,0,1
23,25000,RENT,0.0,HOMEIMPROVEMENT,D,2500,15.2,0.1,N,2,1,1
25,48000,RENT,3.0,PERSONAL,B,4000,11.36,0.08,N,2,0,1
22,80000,RENT,5.0,DEBTCONSOLIDATION,C,7500,13.98,0.09,N,3,0,1
24,200000,MORTGAGE,5.0,EDUCATION,B,12000,10.37,0.06,N,4,0,1
26,55000,RENT,2.0,PERSONAL,C,2000,13.72,0.04,N,2,0,1
22,61500,RENT,2.0,MEDICAL,C,4000,13.23,0.07,Y,2,0,1
28,48840,RENT,5.0,PERSONAL,D,15000,15.7,0.31,Y,8,1,1
23,54996,MORTGAGE,2.0,EDUCATION,C,15600,13.49,0.3,N,2,0,1
33,135000,MORTGAGE,17.0,PERSONAL,B,15000,10.74,0.11,N,5,0,1
23,49600,RENT,7.0,VENTURE,C,8000,15.23,0.16,Y,2,0,1
21,52000,MORTGAGE,5.0,VENTURE,A,16000,7.9,0.31,N,4,0,1
23,46000,OTHER,7.0,EDUCATION,C,18000,11.66,0.39,Y,4,1,1
23,40992,RENT,7.0,EDUCATION,B,5000,11.86,0.12,N,4,0,1
26,45000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,10000,10.99,0.22,N,2,0,1
24,65000,MORTGAGE,8.0,PERSONAL,A,9000,7.14,0.14,N,2,0,1
25,60000,MORTGAGE,3.0,PERSONAL,B,17000,10.37,0.28,N,3,0,1
24,60000,MORTGAGE,4.0,PERSONAL,D,15000,15.58,0.25,Y,2,0,1
29,50000,RENT,1.0,HOMEIMPROVEMENT,A,4000,6.03,0.08,N,10,0,1
21,45000,MORTGAGE,5.0,VENTURE,B,6000,11.71,0.13,N,3,0,1
43,38400,RENT,5.0,DEBTCONSOLIDATION,B,10000,9.99,0.26,N,16,0,1
45,52400,MORTGAGE,14.0,HOMEIMPROVEMENT,B,21000,10.38,0.4,N,11,1,1
23,91000,MORTGAGE,0.0,EDUCATION,A,1000,7.88,0.01,N,4,0,1
40,110000,MORTGAGE,1.0,EDUCATION,B,5000,9.63,0.05,N,11,0,1
26,96000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,4000,6.39,0.04,N,4,0,1
29,48000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,7500,7.05,0.16,N,7,0,1
25,96000,RENT,2.0,HOMEIMPROVEMENT,C,10000,14.27,0.1,Y,3,0,1
23,90000,RENT,7.0,PERSONAL,D,15000,14.42,0.17,Y,3,0,1
54,80000,MORTGAGE,20.0,MEDICAL,B,12000,10.37,0.15,N,20,0,1
32,150000,MORTGAGE,2.0,EDUCATION,A,10000,8.59,0.07,N,8,0,1
22,33000,RENT,3.0,EDUCATION,A,5000,8.49,0.15,N,2,0,1
31,58000,MORTGAGE,2.0,MEDICAL,A,3000,5.42,0.05,N,6,0,1
30,97000,MORTGAGE,7.0,HOMEIMPROVEMENT,D,25000,14.59,0.26,Y,5,0,1
27,30000,MORTGAGE,7.0,MEDICAL,B,5600,10.65,0.19,N,8,0,1
24,58000,RENT,8.0,MEDICAL,B,12500,10.99,0.23,N,2,0,1
30,80000,MORTGAGE,14.0,DEBTCONSOLIDATION,A,9000,6.03,0.11,N,6,0,1
43,72000,RENT,4.0,DEBTCONSOLIDATION,B,18000,12.69,0.25,N,17,0,1
22,37392,RENT,3.0,MEDICAL,D,10800,14.11,0.28,N,2,1,1
25,72000,MORTGAGE,9.0,VENTURE,A,15000,7.9,0.21,N,2,0,1
23,160000,MORTGAGE,2.0,EDUCATION,A,25000,7.66,0.16,N,4,0,1
23,75000,MORTGAGE,7.0,VENTURE,A,6500,5.42,0.09,N,3,0,1
